,City Name,City ID,Country,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Bonthe,2409914,SL,7.53,-12.51,79.3,80,100,14.29
1,Concarneau,3024035,FR,47.88,-3.92,67.95,88,75,10.29
2,Inongo,2315417,CD,-1.95,18.27,80.01,54,49,3.42
3,Ballina,2177069,AU,-28.87,153.57,60.49,88,90,12.75
4,Puerto Ayora,3652764,EC,-0.74,-90.35,68.0,94,100,7.0
5,Hasaki,2112802,JP,35.73,140.83,73.81,100,75,2.24
6,Bria,239899,CF,6.54,21.99,81.61,73,100,3.65
7,Pāvilosta,456827,LV,56.89,21.19,60.8,87,100,11.41
8,Topeka,4280539,US,39.05,-95.68,82.58,74,1,5.82
9,Punta Arenas,3874787,CL,-53.15,-70.92,39.09,86,24,16.11
10,Lavrentiya,4031637,RU,65.58,-171.0,45.75,80,66,6.22
11,Katsuura,2112309,JP,35.13,140.3,76.08,91,100,11.27
12,Bathsheba,3374083,BB,13.22,-59.52,80.6,83,75,18.34
13,Maniitsoq,3421982,GL,65.42,-52.9,48.92,84,81,5.19
14,Rikitea,4030556,PF,-23.12,-134.97,67.77,57,0,12.66
15,Husavik,2629833,IS,66.04,-17.34,46.4,75,75,18.34
16,Hermanus,3366880,ZA,-34.42,19.23,81.0,30,0,3.0
17,Yenagoa,2318123,NG,4.92,6.26,82.04,76,100,9.44
18,Tasiilaq,3424607,GL,65.61,-37.64,41.0,80,75,4.7
19,Ushuaia,3833367,AR,-54.8,-68.3,37.4,74,75,25.28
20,Kupang,2057087,ID,-10.17,123.58,74.25,68,67,13.53
21,Pacific Grove,5380437,US,36.62,-121.92,57.0,82,90,4.7
22,Yellowknife,6185377,CA,62.46,-114.35,51.84,93,90,6.02
23,Abéché,245785,TD,13.83,20.83,92.88,39,20,8.05
24,Huercal Overa,2516542,ES,37.39,-1.95,90.0,33,0,1.01
25,Viranşehir,298033,TR,37.24,39.76,108.43,8,0,8.46
26,Saskylakh,2017155,RU,71.92,114.08,48.79,87,98,10.25
27,Ambulu,1621313,ID,-8.35,113.61,71.82,83,79,6.53
28,Quatre Cocos,1106643,MU,-20.21,57.76,68.0,64,75,16.11
29,Cham,2940202,DE,49.24,12.68,76.51,37,9,4.0
30,Bandarbeyla,64814,SO,9.49,50.81,82.8,57,72,30.22
31,Upernavik,3418910,GL,72.79,-56.15,45.61,79,87,5.46
32,Jamestown,5122534,US,42.1,-79.24,74.12,78,40,3.36
33,Atuona,4020109,PF,-9.8,-139.03,78.62,82,32,20.62
34,Norman Wells,6089245,CA,65.28,-126.83,51.8,93,20,3.36
35,Abonnema,2324433,NG,4.71,6.79,86.0,70,75,6.93
36,New Norfolk,2155415,AU,-42.78,147.06,45.09,85,100,2.64
37,Qaanaaq,3831208,GL,77.48,-69.36,47.28,54,0,1.81
38,Ola,2122574,RU,59.58,151.28,52.95,87,93,5.48
39,Bredasdorp,1015776,ZA,-34.53,20.04,84.2,17,0,8.05
40,Bethel,5282297,US,41.37,-73.41,72.48,83,75,5.82
41,Busselton,2075265,AU,-33.65,115.33,46.62,74,0,8.1
42,Paralímni,146209,CY,35.04,33.98,95.63,49,0,18.34
43,Juneau,5554072,US,58.3,-134.42,55.67,82,75,9.17
44,Kamenka,553766,RU,51.32,42.77,75.0,34,24,5.01
45,Nizwá,286987,OM,22.93,57.53,96.06,31,13,10.42
46,College,5859699,US,64.86,-147.8,50.34,81,75,4.7
47,Port Alfred,964432,ZA,-33.59,26.89,75.27,35,0,7.49
48,College Station,4682464,US,30.63,-96.33,83.64,70,1,9.17
49,Kavieng,2094342,PG,-2.57,150.8,83.26,78,63,13.71
50,Dingzhou,1812728,CN,38.51,115.0,78.8,65,100,4.47
51,Souillac,933995,MU,-20.52,57.52,68.0,64,75,16.11
52,Barrow,5880054,US,71.29,-156.79,35.6,93,90,24.16
53,Margate,2643044,GB,51.38,1.39,72.14,51,46,4.0
54,Mashhad,124665,IR,36.3,59.61,93.2,21,40,9.17
55,Shingū,1847947,JP,33.73,135.98,74.91,94,100,2.82
56,Lebu,3883457,CL,-37.62,-73.65,46.56,76,100,5.95
